product_id,product_name,variant_id,variant_sku,variant_price,option_values
2724,kraft diffuser BOX ONLY,7917,KDB1,2,quantity: single boxes
2724,kraft diffuser BOX ONLY,7918,KDB250,425,quantity: case of 250
2738,mineral soak DETOX,8389,MSKDET18,15,Choose your size: small 18oz
2738,mineral soak DETOX,8390,MSKDET30,20,Choose your size: large 30oz
2739,mineral soak SLEEPY TIME,8362,MSKSLP18,15,Choose your size: small 18oz
2739,mineral soak SLEEPY TIME,8363,MSKSLP30,20,Choose your size: large 30oz
2740,mineral soak VITAMIN,8360,MSKVIT30,20,Choose your size: large 30oz
2740,mineral soak VITAMIN,8361,MSKVIT18,15,Choose your size: small 18oz
2776,hand & body WASH,8280,HBWBAB,12,choose your fragrance: baby's butt
2776,hand & body WASH,8281,HBWLAVD,12,choose your fragrance: lavender dreams
2776,hand & body WASH,8282,HBWLVY,12,choose your fragrance: lovely
2776,hand & body WASH,8283,HBWNAG,12,choose your fragrance: nag champa
2776,hand & body WASH,8284,HBWSPA,12,choose your fragrance: spa day
2776,hand & body WASH,8285,HBWWTG,12,choose your fragrance: white tea & ginger
2776,hand & body WASH,8287,HBWEOCAL,12,choose your fragrance: calm (pure essential oil blend)
2776,hand & body WASH,8289,HBWEOPAT,12,choose your fragrance: patchouli (pure essential oil blend)
2776,hand & body WASH,8292,HBWHYM,12,choose your fragrance: honey mango
2776,hand & body WASH,8296,HBWEOSOO,12,choose your fragrance: soothe (pure essential oil blend)
2776,hand & body WASH,8297,HBWGOD,12,choose your fragrance: goddess
2776,hand & body WASH,8504,HBWEUC,12,choose your fragrance: eucalyptus mint
2776,hand & body WASH,8505,HBWLGS,12,choose your fragrance: lemongrass sage
2776,hand & body WASH,8898,HBWCHM,12,choose your fragrance: chamomile sage
2776,hand & body WASH,8899,HBWESA,12,choose your fragrance: eucalyptus sage
2782,dead sea & himalayan MINERAL SCRUB,8299,MSEOCAL,16,choose your fragrance: calm (essential oil blend)
2782,dead sea & himalayan MINERAL SCRUB,8301,MSHYM,16,choose your fragrance: honey mango
2782,dead sea & himalayan MINERAL SCRUB,8302,MSGOD,16,choose your fragrance: goddess
2782,dead sea & himalayan MINERAL SCRUB,8303,MSEUC,16,choose your fragrance: eucalyptus mint
2782,dead sea & himalayan MINERAL SCRUB,8304,MSLAV,16,choose your fragrance: lavender dreams
2782,dead sea & himalayan MINERAL SCRUB,8305,MSSPA,16,choose your fragrance: spa day
2782,dead sea & himalayan MINERAL SCRUB,8306,MSLVY,16,choose your fragrance: lovely
2782,dead sea & himalayan MINERAL SCRUB,8307,MSNAG,16,choose your fragrance: nag champa
2782,dead sea & himalayan MINERAL SCRUB,8308,MSBAB,16,choose your fragrance: baby's butt
2796,bunny bag DONATION,8947,BUN2,12,Variant: INCENSE MATCHES
2796,bunny bag DONATION,8948,BUN1,12,Variant: LIP BALM
2796,bunny bag DONATION,8949,BUN3,12,Variant: SLEEP BALM
4101,organic body LOTION,8256,LOTCHM,16,choose your fragrance: chamomile sage
4101,organic body LOTION,8257,LOTNKD,16,choose your fragrance: naked (unscented)
4101,organic body LOTION,8259,LOTEOSOO,16,choose your fragrance: soothe (pure essential oil blend)
4101,organic body LOTION,8260,LOTEUC,16,choose your fragrance: eucalyptus mint
4101,organic body LOTION,8262,LOTEOCAL,16,choose your fragrance: calm (pure essential oil blend)
4101,organic body LOTION,8265,LOTESA,16,choose your fragrance: eucalyptus sage
4101,organic body LOTION,8266,LOTEOPAT,16,choose your fragrance: patchouli (pure essential oil blend)
4101,organic body LOTION,8268,LOTHYM,16,choose your fragrance: honey mango
4101,organic body LOTION,8269,LOTLGS,16,choose your fragrance: lemongrass sage
4101,organic body LOTION,8270,LOTWTG,16,choose your fragrance: white tea & ginger
4101,organic body LOTION,8271,LOTLAV,16,choose your fragrance: lavender dreams
4101,organic body LOTION,8273,LOTGOD,16,choose your fragrance: goddess
4101,organic body LOTION,8274,LOTBAB,16,choose your fragrance: baby's butt
4101,organic body LOTION,8275,LOTLVY,16,choose your fragrance: lovely
4101,organic body LOTION,8278,LOTNAG,16,choose your fragrance: nag champa
4101,organic body LOTION,8279,LOTSPA,16,choose your fragrance: spa day
4634,massage & body OIL,8329,BODSOO,15,choose your fragrance: soothe (pure essential oil blend)
4634,massage & body OIL,8331,BODCAL,15,choose your fragrance: calm (pure essential oil blend)
4634,massage & body OIL,8333,BODPAT,15,choose your fragrance: patchouli (pure essential oil blend)
4634,massage & body OIL,8334,BODSPA,15,choose your fragrance: spa day
4634,massage & body OIL,8335,BODNAG,15,choose your fragrance: nag champa
4634,massage & body OIL,8336,BODLVY,15,choose your fragrance: lovely
4634,massage & body OIL,8337,BODLGS,15,choose your fragrance: lemongrass sage
4634,massage & body OIL,8338,BODLAV,15,choose your fragrance: lavender dreams
4634,massage & body OIL,8339,BODGOD,15,choose your fragrance: goddess
4634,massage & body OIL,8340,BODEUC,15,choose your fragrance: eucalyptus mint
4634,massage & body OIL,8341,BODBAB,15,choose your fragrance: baby's butt
4634,massage & body OIL,8342,BODNKD,15,choose your fragrance: naked (unscented)
4634,massage & body OIL,8343,BODHYM,15,choose your fragrance: honey mango
4634,massage & body OIL,8344,BODWTG,15,choose your fragrance: white tea & ginger
4634,massage & body OIL,8897,BODCHM,15,choose your fragrance: chamomile sage
4960,hand-dipped incense 10pk,8345,INCBRB,2.5,choose your fragrance: bourbon vanilla
4960,hand-dipped incense 10pk,8346,INCCHM,2.5,choose your fragrance: chamomile sage
4960,hand-dipped incense 10pk,8347,INCESA,2.5,choose your fragrance: eucalyptus sage
4960,hand-dipped incense 10pk,8348,INCGOD,2.5,choose your fragrance: goddess
4960,hand-dipped incense 10pk,8350,INCLVY,2.5,choose your fragrance: lovely
4960,hand-dipped incense 10pk,8351,INCMOE,2.5,choose your fragrance: mother earth
4960,hand-dipped incense 10pk,8352,INCNAG,2.5,choose your fragrance: nag champa
4960,hand-dipped incense 10pk,8353,INCOCE,2.5,choose your fragrance: ocean waves
4960,hand-dipped incense 10pk,8354,INCPRE,2.5,choose your fragrance: precious woods
4960,hand-dipped incense 10pk,8355,INCSPA,2.5,choose your fragrance: spa day
4960,hand-dipped incense 10pk,8356,INCVER,2.5,choose your fragrance: verbena basil
4960,hand-dipped incense 10pk,8357,INCLAV,2.5,choose your fragrance: lavender dreams
4960,hand-dipped incense 10pk,8358,INCVAM,2.5,choose your fragrance: vintage amber
4960,hand-dipped incense 10pk,8359,INCWTG,2.5,choose your fragrance: white tea & ginger
4960,hand-dipped incense 10pk,9629,INCCED,2.5,choose your fragrance: cedar & sandalwood
4960,hand-dipped incense 10pk,9630,INCBOT,2.5,choose your fragrance: botanica
4961,scented sachet YEAR-ROUND,8207,SACHWTG,4,choose your fragrance: white tea & ginger
4961,scented sachet YEAR-ROUND,8208,SACHVAN,4,choose your fragrance: warm vanilla
4961,scented sachet YEAR-ROUND,8209,SACHVAM,4,choose your fragrance: vintage amber
4961,scented sachet YEAR-ROUND,8210,SACHVER,4,choose your fragrance: verbena basil
4961,scented sachet YEAR-ROUND,8211,SACHVGR,4,choose your fragrance: vanilla grapefruit
4961,scented sachet YEAR-ROUND,8212,SACHROS,4,choose your fragrance: sterling rose
4961,scented sachet YEAR-ROUND,8213,SACHSPA,4,choose your fragrance: spa day
4961,scented sachet YEAR-ROUND,8214,SACHSEA,4,choose your fragrance: seagrass
4961,scented sachet YEAR-ROUND,8215,SACHSAN,4,choose your fragrance: sanctuary
4961,scented sachet YEAR-ROUND,8216,SACHPRE,4,choose your fragrance: precious woods
4961,scented sachet YEAR-ROUND,8217,SACHOCE,4,choose your fragrance: ocean waves
4961,scented sachet YEAR-ROUND,8219,SACHNAG,4,choose your fragrance: nag champa
4961,scented sachet YEAR-ROUND,8220,SACHMOE,4,choose your fragrance: mother earth
4961,scented sachet YEAR-ROUND,8221,SACHLVY,4,choose your fragrance: lovely
4961,scented sachet YEAR-ROUND,8222,SACHLGS,4,choose your fragrance: lemongrass sage
4961,scented sachet YEAR-ROUND,8224,SACHLAV,4,choose your fragrance: lavender dreams
